year,month,term,avg_sentiment
2022,7,wrinklescrepy,-0.02321428805589676
2021,12,chart,0.2252954306701819
2022,6,chart,0.36355821291605633
2021,7,wrinklescrepy,0.36015151534229517
2021,12,wrinklescrepy,0.2995316833257675
2022,10,cicaplast,0.11923740338534117
2022,3,dermatitisallergy,0.05420725326985121
2022,12,experts,0.1807296246290207
2022,6,seam,-0.002177879757558306
2021,10,chart,0.0570642005186528
2021,3,shrinkflation,0.2310846596956253
2021,9,unhooked,0.12041012925051507
2021,2,macdonald,0.22406004402066834
2022,12,cheeklip,0.1348607882059046
2022,4,settingspray,0.002137864629427592
2021,7,macdonald,0.07517158910632134
2021,10,shrinkflation,0.00558712100610137
2021,8,heather,0.13930059596896172
2022,4,cheeklip,0.16026265546679497
2022,3,webcams,0.14175685495138168
2022,7,cheeklip,0.20442721467803826
2021,4,cosplayor,0.1274999976158142
2023,3,coverfix,0.20594686683681276
2021,5,producst,0.21412698775529862
2022,2,wrinklescrepy,0.03241835068911314
2021,2,shrinkflation,0.17989538609981537
2022,3,settingspray,0.23260074108839035
2021,4,shrinkflation,0.19307870045304298
2021,7,coverfix,0.1977265253663063
2022,1,producst,0.15708423275500535
2022,11,coverfix,0.14219841584563256
2021,7,frequency,0.11729111367215712
2022,2,cicaplast,0.03690476156771183
2021,1,webcams,0.11898148059844971
2021,6,heather,-0.03203296568244696
2022,2,oneunusedis,0.1590698302257806
2021,4,dyer,0.09538235101434919
2022,1,macdonald,0.20813491847366095
2022,6,dermatitisallergy,0.06634492993665238
2022,5,coverfix,0.20394841581583023
2021,9,wrinklescrepy,-0.19619984179735184
2021,11,wrinklescrepy,0.21303419023752213
2021,5,cosplayor,0.2419444384674231
2022,7,chart,0.11743695102632046
2022,1,angry,0.11040331268062194
2021,10,seam,0.12210068013519049
2022,6,wrinklescrepy,0.17698863660916686
2021,6,dyer,0.04723905585706234
2022,5,cicaplast,-0.015307017602026463
2021,12,frequency,0.10312121490446421
2022,2,cosplayor,0.18980158492922783
2022,8,cosplayor,0.0758333330353101
2022,12,cosplayor,0.09916383294122559
2022,7,dermatitisallergy,0.18217987660318613
2021,11,cheeklip,0.056673694401979446
2022,1,dermatitisallergy,0.07462962716817856
2022,3,seam,0.10951644368469715
2022,12,macdonald,0.22534172907471656
2021,8,frequency,0.0772910378540733
2022,3,cheeklip,0.11563916221660163
2021,3,macdonald,0.189411923289299
2022,7,webcams,0.262003593146801
2021,8,dermatitisallergy,0.2238015912473202
2022,10,cosplayor,0.09234127774834633
2021,11,unhooked,0.14124420631144727
2023,2,dyer,0.012391257765037673
2021,12,producst,0.1628094594925642
2021,7,settingspray,0.24570790837918008
2022,11,dermatitisallergy,0.21377091575413942
2021,7,angry,0.13145678987105688
2021,2,chart,0.05493827164173126
2021,10,dyer,0.19334114425712162
2021,2,experts,0.061364855244755746
2022,5,webcams,0.10419907681643963
2022,10,wrinklescrepy,0.16603298671543598
2022,7,seam,0.10273403860628605
2022,12,producst,0.13509030621498824
2023,3,producst,0.06035612771908442
2021,8,chart,0.12135859718546271
2021,8,unhooked,0.20434210302406236
2021,12,cheeklip,0.058198788901790977
2021,12,coverfix,0.28935184329748154
2021,7,experts,0.1485412735491991
2022,12,webcams,0.13819543621502817
2021,8,settingspray,-0.022117958248903353
2021,12,experts,0.0776330268708989
2021,10,oneunusedis,0.09157475327245063
2021,8,macdonald,0.09609245508909225
2021,5,heather,0.26572530965010327
2022,4,dyer,0.09371993690729141
2021,11,coverfix,0.22384920716285706
2022,10,experts,0.06926595252007246
2022,10,settingspray,-0.0015921108424663544
2023,3,angry,0.10090931970626116
2022,5,heather,0.2137962281703949
2021,1,wrinklescrepy,0.14890983079870543
2021,5,dyer,0.2122818355758985
2021,5,cheeklip,0.15469854573408762
2021,8,cosplayor,0.20000000298023224
2021,9,seam,0.11134122172370553
2022,8,settingspray,0.005379710878644671
2021,11,producst,0.1693574134260416
2021,6,unhooked,0.12611637966308212
2021,2,producst,0.21095971763134003
2021,9,frequency,0.04774227352546794
2021,3,chart,0.23000000417232513
2021,6,cheeklip,0.10700652127464612
2021,6,wrinklescrepy,0.21065656654536724
2021,2,cicaplast,0.11127106348673503
2022,1,cicaplast,-0.0728168711066246
2021,9,producst,0.1369347358122468
2021,2,cheeklip,0.21865519295845712
2022,1,experts,0.1392623707652092
2021,3,settingspray,0.058105158433318135
2022,3,producst,0.20255539193749428
2022,9,experts,0.08760311268270016
2021,7,cheeklip,0.11937537789344788
2022,9,coverfix,0.16891883686184883
2022,8,webcams,0.19598484854213893
2021,12,cosplayor,-0.02857142873108387
2021,11,oneunusedis,0.1520562497122834
2022,3,dyer,0.11126392334699631
2021,9,heather,0.11770833656191826
2022,9,webcams,0.17593544473250708
2021,7,dyer,0.11033774792615857
2021,3,heather,0.3752913773059845
2022,2,angry,0.17435035109519958
2022,6,producst,0.13112723417580127
2021,12,cicaplast,0.13485069188755006
2021,4,settingspray,0.12916666269302368
2022,9,dermatitisallergy,0.09261760637164115
2023,2,seam,0.04071952526768049
2021,4,cicaplast,0.02399003494065255
2021,3,experts,0.044974790513515474
2021,9,experts,0.13182460218667985
2021,10,coverfix,0.3799999952316284
2021,2,seam,0.19304487109184265
2022,10,macdonald,0.17765709271447527
2021,6,shrinkflation,0.12549874186515808
2022,10,dermatitisallergy,0.15182449645362794
2022,11,experts,0.09873990761116147
2022,4,wrinklescrepy,0.10726190451532602
2021,5,cicaplast,0.09479166567325592
2021,6,seam,0.13253585994243622
2021,8,producst,0.12566603099306425
2022,8,heather,-0.04433836613316089
2021,9,shrinkflation,0.028163577740391094
2021,6,frequency,0.11836194840725511
2021,5,webcams,0.1662987256422639
2021,3,wrinklescrepy,0.4333333373069763
2023,2,shrinkflation,0.0879845202434808
2022,5,angry,0.07831916172290221
2022,1,settingspray,0.21877105037371317
2021,3,coverfix,0.21423610548178354
2021,11,seam,0.09516687256594498
2021,12,oneunusedis,0.11437077460707062
2021,8,seam,0.10283604594878852
2021,3,cicaplast,0.0416021216660738
2022,7,coverfix,0.17966641361514726
2022,11,dyer,0.1507855597883463
2021,10,cheeklip,0.16750330477952957
2021,6,producst,0.1545138880610466
2021,10,cosplayor,0.09925480745732784
2023,1,cicaplast,0.18922453932464123
2021,10,dermatitisallergy,0.1309745565522462
2022,7,settingspray,0.2286291445295016
2021,5,settingspray,0.10395998321473598
2021,8,cicaplast,0.007031247019767761
2021,3,dermatitisallergy,0.10624999832361937
2021,9,chart,0.13179563079029322
2021,2,coverfix,0.192533478140831
2021,10,webcams,0.19288267691930136
2022,12,coverfix,0.2149390298873186
2022,2,macdonald,0.2521742403507233
2022,8,macdonald,0.07845072285272181
2022,12,dyer,0.1314957090653479
2022,4,webcams,0.15043344348669052
2022,2,chart,0.19064604242642721
2021,12,settingspray,0.03303508833050728
2021,10,cicaplast,0.2871428430080414
2022,10,producst,0.12178968141476314
2021,10,macdonald,0.12511894266520227
2021,4,coverfix,0.232619047164917
2023,1,coverfix,0.1138878608055945
2021,9,cheeklip,0.15044925659894942
2021,11,experts,0.01574956128994624
2021,8,shrinkflation,0.15406746417284012
2022,1,wrinklescrepy,0.31918518741925556
2021,8,cheeklip,0.111793152987957
2021,6,experts,0.2117683533579111
2021,7,cicaplast,0.12084468019505341
2022,2,cheeklip,0.14554074158271155
2021,4,producst,0.14934895746409893
2021,11,macdonald,0.15331554288665453
2021,11,cosplayor,0.05219696958859762
2022,11,cicaplast,0.2222777803738912
2022,9,heather,0.12212121238311131
2023,2,macdonald,0.09176271595060825
2022,2,settingspray,0.03074061550432816
2021,3,cosplayor,0.06590908952057362
2021,2,settingspray,-0.010879630222916603
2022,8,dyer,0.08051948063075542
2022,6,dyer,0.048421716410666706
2021,2,cosplayor,0.2642727345228195
2022,12,settingspray,-0.007846415508538485
2021,9,settingspray,0.5405555367469788
2021,11,heather,-0.0833333358168602
2021,10,settingspray,-0.09858465505143006
2022,5,cosplayor,0.10567460767924786
2021,10,experts,0.20604761938254038
2021,1,cicaplast,-0.05826086923480034
2021,1,dyer,0.10118140815757215
2021,6,cosplayor,0.06659091015656789
2022,9,angry,0.004319084187348683
2021,12,shrinkflation,0.16249999403953552
2022,3,wrinklescrepy,0.16341779232025147
2021,4,wrinklescrepy,0.17741666610042253
2022,2,frequency,0.1037399829365313
2021,8,dyer,0.23944173753261566
2021,9,dyer,0.14422348886728287
2021,11,dyer,0.3684119815006852
2021,6,settingspray,0.07203967124223709
2022,2,dyer,-0.027662038803100586
2022,2,coverfix,0.07132711447775364
2021,7,chart,0.19057143479585648
2021,11,settingspray,0.024346426129341125
2021,10,heather,0.36538461595773697
2021,11,webcams,0.15357142686843872
2021,10,producst,0.20593450963497162
2021,12,angry,0.005194805096834898
2022,12,angry,0.04429012288649877
2022,7,dyer,-0.04362433776259422
2021,3,producst,0.26666667064030963
2022,2,dermatitisallergy,0.08553571254014969
2021,6,cicaplast,-0.05395104984442393
2021,2,angry,0.14173611253499985
2022,7,angry,0.07648378983139992
2021,11,shrinkflation,0.12539682537317276
2021,8,webcams,0.20654761604964733
2022,9,dyer,0.08285657837986946
2021,4,chart,0.19736190289258956
2021,7,dermatitisallergy,0.29018452391028404
2021,2,heather,0.15345238149166107
2022,9,shrinkflation,0.24531249701976776
2021,6,angry,0.10869859345257282
2021,12,dyer,0.03223039209842682
2022,6,heather,0.17125000059604645
2022,3,cosplayor,0.30645562428981066
2022,4,experts,0.0920201949775219
2022,4,coverfix,0.1944113716017455
2021,4,webcams,0.17432200660308203
2022,6,webcams,0.054166668094694614
2022,6,shrinkflation,0.06805555522441864
2022,6,angry,0.055555558763444424
2022,8,angry,0.040000001713633535
2022,5,experts,0.11808069050312042
2022,10,angry,0.08515844028443098
2022,10,shrinkflation,0.0903571421901385
2021,1,coverfix,0.4745454490184784
2021,12,heather,0.32565097510814667
2022,9,wrinklescrepy,0.550000011920929
2022,11,seam,0.19821429252624512
2021,7,webcams,0.11500000208616257
2022,4,cicaplast,0.2087121233344078
2022,11,cosplayor,0.06989417846004169
2022,9,cosplayor,0.125
2021,1,shrinkflation,0.15833333134651184
2021,8,experts,0.2140963226556778
2021,10,angry,0.0317460335791111
2021,9,cosplayor,0.2510416656732559
2022,8,coverfix,0.23333333432674408
2021,9,cicaplast,0.03333333507180214
2022,5,shrinkflation,0.21395833790302277
2021,3,webcams,0.041025642305612564
2022,9,cicaplast,-0.17636363208293915
2021,8,coverfix,0.26233765482902527
2021,5,wrinklescrepy,-0.2666666805744171
2021,11,cicaplast,0.17499999701976776
2021,3,angry,0.009542491286993027
2021,7,cosplayor,0.30000001192092896
2022,7,shrinkflation,-0.0059523810632526875
2022,6,cicaplast,-0.4300000071525574
