,year,month,term,avg_sentiment,date
142,2021,11,loooove,0.0,2021-11
143,2021,8,findings,0.03333333507180214,2021-08
144,2022,5,careful,0.07500000298023224,2022-05
145,2022,8,closeset,0.15000000596046448,2022-08
146,2022,8,hairbrush,0.36393940448760986,2022-08
147,2022,5,small,-0.05925925821065903,2022-05
148,2021,8,closeset,0.13333334028720856,2021-08
149,2021,12,aloe,0.13750000298023224,2021-12
150,2021,5,seduction,0.04742063581943512,2021-05
151,2022,9,saying,0.5,2022-09
